,Job_Title,Company,Location,joblink_URL
1,Data Scientist,Tech Mahindra,Chennai,https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3aef734b&cb=1650272482474&jobListingId=1007785052736&cpc=2CAED5C921A5F994&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-f945bd8ee08ff375--6NYlbfkN0Dg3Vmc2e6Km_nlHkm0d4k6_5Si8RohEZRrb_FPlDALTCX1XjG3T21lBH-hzd9sSGCh7-2xIx9-zgEew-pilC8TIO6fXn95bCGoHI-wyc9fADqx3nb-7RLvjXfLiNotcD-zeUUeC_psT7xCVfZ7i6uYfoCDElj4h45J15mpVdNe4agPsGOy6r26_xnsucw_Bwk1fnpreqXjdutWv-vtIbRJryfMbHlFpyuw-NuBZccDYewcmmUsOBUk62vvyGTSieRP4LYqzoWoOG9gulY0V0hBzXWKETOO-FkALi1IelAvypyuovCTQwogRjys45YX4ZEmv2qjr9BO2efXjW1C803_TFWRA6h2tZ1gaEMk3yS2g5rNIHTGiakvnOyrbK2mccrNnniifWl4loS-S1d2Vhseqw1HUV3QzYmvFUr8mpNwlcbN8bxny3K3dGJLklCBS_6SQvBYxZtHmnCgkLyqLh0-C2P4pjJHNqYkCHbzMWJhkNseiUSarIxDCeUHhf3Xxro%3D
2,Artificial Intelligence Data Scientist,AIREI India Private Limited,Coimbatore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4626751e&cb=1650272482474&jobListingId=1007329509022&cpc=8795CF9063CD573D&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-5555a3fc03b48502--6NYlbfkN0CWWshD-rBiNnPJGCttH9MO8mhs96o7Qez5DEWuh4kC2eqz9cVGnEEBEQjrHKr5a25dBKEWm5w5JXZFlkjIgiS_GAbjD8Ix3ahRRhd0IbUzidDZlst3RyxJAhGKRfcdYc4HWBmC78Af-DYWJ-cgJWSPN9xffYaSpteudSaPUThxVH2vCBohzzrktwIYnp2C5U1QHazpN_EBb6BRqMFCMGQu9knuMzE249gO1ImCYBRr93AkJHS5svV_eS1vcvBj6uM3m4kRI4WcTFEZ8p1hEJDX5_qFjWtPXvKqLCrej35G-GNpbmE95OY2pMnr5_rw37BO7tvorxxxGfC9ATrl1nSw9f1lCTi4iNKrz6KIVp1eDhzTPbmAGSwWCxwBd2QRc8ooSC5yX5FmI7OY8Ef8TjxsIomW_ZqFfjlLkpDhLtxnxe1qUYB3-npQEYZAfh1D8OF_ktnsB2MEfHaZOQEiEBTUHxkvauSiFBGZrPYAFRk5w9cpXfjFewXte6kOnRadqjf7rnLD6UkcDA%3D%3D
3,Data & Analytics Developers,Infosys Limited,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb4f1d6f&cb=1650272482474&jobListingId=1007783522119&cpc=2CAED5C921A5F994&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-a3c2d710b329f79f--6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MCJkwtjCQKHlzUyInCL18pOeUE7c2HrPzfz3HLHZo-II1OYtEytFSowNqEQjlt5P5E64EBfCstMHzMNl3_aiSrJEhumTe66sBLBLoGVGcar01erEY00TQH6cItEWSnfGFLjlRoL4Mib3iYziG6KO2OzT8fNn7TneootvJi6BP3l0ZD51UZFcnVooEn7l7n-pIoKZ0ytpBaoYphghljW6_cNjHhH2F3OS1jWXRsxKqAkHap3i8UI_Nui5IDb-pAziKSGotTzrUhEpDOwmyhpjUs3MKygw2lNM-nZWrqwLqWorwfN-qC64iBH8BypCYz91d_XbanctKnq54IoX9xbPzBGsfAdd5MFf9ZJwmYEUNok24bHCmJkURxcwW3HewCh68vjiNHStGccWkR_HcBQC0_SlD-AUFaN-q6RavLen1IwOHhwa3q779L-L6xddFxHeAnVGlUjVXO_4FJCEW0NbwFs%3D
4,Data Scientist,Infosys Limited,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_17e971ea&cb=1650272482474&jobListingId=1007551935826&cpc=2CAED5C921A5F994&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-745a3a4c86f3f023--6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MCJkwtjCQKHlzUyInCL18pMVrKmzeYFbv7wpIQpmm8N-5YGEQV4fbKEfLI6YlBnwG27YVVgXuvImHnIRbPzwZLQFUul6C1QKEVSo2V5DqGw-y2VTtwX02nUrWBIpMfpA89bItEeeMgFxxXV1OltVn-NPNTlRMiH08EKx0t5KW0uDnLcpuSK-fEAsVZYnWRoVX4NU-2Ea8BQdwaC5kE18-l3qTzHKrvfGHcDKxPiulO7TaidOFkCUVZuOOQ2EmeVsZwLxKYLgjafIOLho4SbH4m2XGlvR56qcpxlXiuLiNOXiRgj2oV7E3cpn3ENNDdRcc1wRvVEMUw4Rv_TUHg80f1LCWDw-wK84-Ms40k01X4eepcFd6iKZf15DbLC8Ic8_XD2uGRIp-lm8Vo_-qIL0OoMiHVHI22q2khS7cDjddfeN5Jjqz9EScqJWeG8JIyTFRM1CTHNYo_IhL_EBJ_-2ZWM%3D
5,Data Science Trainer,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0e30243e&cb=1650272482474&jobListingId=1007619267086&cpc=F4EED0218A761C36&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-4a337ab4a1c1a22b--6NYlbfkN0CKEf5FcoaSzFnbRwvMSTgyE7uPeC0ize3srkLio-iNrsRcN5Mk1v2NXBM3otvXGum0Y64gqLierrBALWZp1rzvEy0TYH4EuPAM6Xv19Ml-6GkX2bjotDY72Qz7D_bp3wD3iRJ9-6a7juV2VjSZR2MA5UBbnLOVNGP9OJiazT2-O2NEQxLRGgsIHO9XfcxAtHJtABAkHN9zAhC8kSTHxHJJmSgKv1wb2rt98UaASjYs0rqIPwIIk_phWRamwJ1XIPyIpyaPGKDixlCn5XDiZvQRrcwbwHIi-54AeVLLTm6jKUPnbCMifIdbq5a4ZbpMgnW370lVig0lzD8aYPbQPnEBCwH3M-OODl4HZWUdoZlJwywJIwZHvB4EvN_Jxl_VCo3-3OVam1t603hyIGy5r29EFHl7-EiX-mNXLnHi9YtxNnq2ZTHDUlClUH4BkgpYb6DLaYe4rF8dUxh2I-IYEbaNGsLbQ7EzMUjRgI8NtbchiDI4KBySOXrs
6,Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8752aa4a&cb=1650272482476&jobListingId=1007637071436&cpc=9908D8D4413DBB8A&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-3b3e2486a7aa4494--6NYlbfkN0AdIuWnebtZMFsynnr4yvyclkA7nqAzDe2p4IWrpz64RFOHcVxadXDPUAtAfkuphA2u0TiHUJhiLrgT0vARLdGSrX7Mi2J5cQH5VPmfUyrn7JQ0NlXJJrKGAwbFDV1wvH0bbDzUq-vpOKgUGNUmfscqES8AZbGV-uqcxFsg-9mCfUmH32jcanEdVQr6WDG5tFnQkxzAfBSSJ8PrA6q5XDcIY9mZmNL7QesaQhz6J5dgg2lmmUZnJuiBEyUEQDCOcYn9Kic0D5NL2ThJgEcOhKjURx0khh3mLApAONP5I3OaN1nm-1r4OTfEZGtuC65kvkrUzqit5ZGTmxkVf0uDuUEd-txEnwpOTiQFzCbBCFyjlKhlXZTcPKSytHX2wbbsOjS5FIUvYVK9l6PffUAXkaRAphyCBqP7CoxgXXdfvpNpbkHSEOsoGSpueKW_eWP2XIUT7XgsMLa2MC1q8HpEjMQcTY19Me4H4yJCpR2pQquJPS_D7goBtoA4
7,Data Science - Analyst/Lead Analyst,Infosys Limited,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_8c617ef0&cb=1650272482474&jobListingId=1007769790605&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-8a4f91c874bbe334--6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MCJkwtjCQKHlzUyInCL18pOBMRw2VM5xDCWyiIvBuYOWMWRe10IVN_txh8QCFcuVje3EsmYaYyIUI47SUY_Y_W2JaOLMky6Fhmr3_ZX3u2Bv9ZQVLjjYCbLCzj5ubweq2mjHXQrsKkGiqSVzoLpWuQVmSsW3ST8wyZ0JQswPThfFhQmwPLqBVT6cN4xMvqxhHc1dKBSS_3qV-4Xj6NOYcL_CUOqKLRxlo7vZv1aLo7wVt5ebWV_Mcvj0k2U7OZWIniWLuOpJHOy17gK0VyZvTHyRHzPY33VT43bpQmFlhQFyH_PvsyXiorCkxADN0udCsZcU0aOdcrToQeuY-WouYnc-AVIAW7NOzgOnUtHEOojnoAptjLyjFBdYVisD0-EQr0mMc_0RENqI7B1zNFpE0njBJ_wfVXe16Br99cyY-2V2JvFyOh2UGjsmbZ_-Gnk0LgKgqvO7BN2RF5f9Rif15LQ%3D
8,Data Scientist 1,PayPal,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_3ad4504f&cb=1650272482474&jobListingId=1007799302982&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-7b2d25c4cce861e8-
9,Data Scientist,BT,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&cs=1_133ccc37&cb=1650272482475&jobListingId=1007741448088&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-5d395d98e0691555-
10,Data Scientist,Apar Technologies,Bangalore,https://www.glassdoor.co.in/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001803be7b362a64182b1fd719405&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41a9fe98&cb=1650272482475&jobListingId=1007775767442&jrtk=3-0-1g0tufcs3kuhb801-1g0tufcsbhiqn800-5382fbbdfae28e0d-
